MZ501060.1_prot_QXV77530.1_64_known	[locus_tag=bas50_0064] [protein=ATPase] [protein_id=QXV77530.1] [location=57250..58434] [gbkey=CDS]
MZ501057.1_prot_QXV77181.1_68_unknown	[locus_tag=bas19_0068] [protein=hypothetical protein] [protein_id=QXV77181.1] [location=complement(48562..48948)] [gbkey=CDS]
MZ501066.1_prot_QXV78926.1_218_unknown	[locus_tag=bas39_0218] [protein=hypothetical protein] [protein_id=QXV78926.1] [location=complement(130155..130688)] [gbkey=CDS]
MZ501113.1_prot_QXV85894.1_57_unknown	[locus_tag=bas35_0057] [protein=hypothetical protein] [protein_id=QXV85894.1] [location=complement(40193..40423)] [gbkey=CDS]
MZ501062.1_prot_QXV77922.1_20_unknown	[locus_tag=bas49_0020] [protein=hypothetical protein] [protein_id=QXV77922.1] [location=16144..16524] [gbkey=CDS]
MZ501046.1_prot_QXV75317.1_41_unknown	[locus_tag=bas44_0041] [protein=hypothetical protein] [protein_id=QXV75317.1] [location=complement(34320..34607)] [gbkey=CDS]
MZ501058.1_prot_QXV77277.1_71_unknown	[locus_tag=bas31_0071] [protein=hypothetical protein] [protein_id=QXV77277.1] [location=63915..64430] [gbkey=CDS]
NC_005859.1_prot_YP_006990.1_162_known	[locus_tag=T5.162] [db_xref=GeneID:2777686] [protein=membrane protein] [protein_id=YP_006990.1] [location=111245..111490] [gbkey=CDS]
MZ501103.1_prot_QXV84443.1_139_unknown	[locus_tag=bas34_0151] [protein=hypothetical protein] [protein_id=QXV84443.1] [location=complement(96342..97316)] [gbkey=CDS]
MZ501052.1_prot_QXV76451.1_242_unknown	[locus_tag=bas38_0242] [protein=hypothetical protein] [protein_id=QXV76451.1] [location=complement(138918..139310)] [gbkey=CDS]
MZ501048.1_prot_QXV75699.1_148_unknown	[locus_tag=bas56_0148] [protein=hypothetical protein] [protein_id=QXV75699.1] [location=complement(98079..98348)] [gbkey=CDS]
MZ501113.1_prot_QXV86096.1_259_known	[locus_tag=bas35_0270] [protein=dNMP kinase] [protein_id=QXV86096.1] [location=complement(145909..146634)] [gbkey=CDS]
MZ501078.1_prot_QXV80626.1_1_known	[locus_tag=bas65_0001] [protein=holin] [protein_id=QXV80626.1] [location=1..204] [gbkey=CDS]
MZ501103.1_prot_QXV84353.1_49_unknown	[locus_tag=bas34_0049] [protein=hypothetical protein] [protein_id=QXV84353.1] [location=complement(48793..49185)] [gbkey=CDS]
MZ501113.1_prot_QXV86075.1_238_unknown	[locus_tag=bas35_0238] [protein=hypothetical protein] [protein_id=QXV86075.1] [location=complement(135137..135466)] [gbkey=CDS]
MZ501047.1_prot_QXV75182.1_177_unknown	[locus_tag=bas47_0177] [protein=hypothetical protein] [protein_id=QXV75182.1] [location=complement(114222..114470)] [gbkey=CDS]
MZ501079.1_prot_QXV80735.1_60_unknown	[locus_tag=bas07_0060] [protein=hypothetical protein] [protein_id=QXV80735.1] [location=complement(40823..41017)] [gbkey=CDS]
MZ501062.1_prot_QXV77988.1_86_unknown	[locus_tag=bas49_0086] [protein=hypothetical protein] [protein_id=QXV77988.1] [location=76397..76699] [gbkey=CDS]
MZ501112.1_prot_QXV85759.1_19_unknown	[locus_tag=bas23_0019] [protein=putative minor tail protein] [protein_id=QXV85759.1] [location=14720..15154] [gbkey=CDS]
MZ501073.1_prot_QXV79798.1_12_unknown	[locus_tag=bas58_0012] [protein=hypothetical protein] [protein_id=QXV79798.1] [location=9363..9821] [gbkey=CDS]
MZ501109.1_prot_QXV85280.1_40_unknown	[locus_tag=bas30_0040] [protein=hypothetical protein] [protein_id=QXV85280.1] [location=complement(41479..41682)] [gbkey=CDS]
MZ501098.1_prot_QXV83479.1_112_known	[locus_tag=bas45_0112] [protein=type II topoisomerase large subunit] [protein_id=QXV83479.1] [location=complement(76772..78589)] [gbkey=CDS]
MZ501066.1_prot_QXV78715.1_7_known	[locus_tag=bas39_0007] [protein=prohead core protein] [protein_id=QXV78715.1] [location=6827..7252] [gbkey=CDS]
MZ501109.1_prot_QXV85395.1_155_unknown	[locus_tag=bas30_0179] [protein=hypothetical protein] [protein_id=QXV85395.1] [location=99678..100406] [gbkey=CDS]
MZ501086.1_prot_QXV81796.1_105_unknown	[locus_tag=bas63_0105] [protein=hypothetical protein] [protein_id=QXV81796.1] [location=67358..67762] [gbkey=CDS]
NC_073089.1_prot_YP_010742582.1_43_unknown	[locus_tag=P9651_gp43] [db_xref=GeneID:79676144] [protein=putative single-stranded DNA binding protein] [protein_id=YP_010742582.1] [location=complement(32731..33540)] [gbkey=CDS]
MZ501111.1_prot_QXV85620.1_110_unknown	[locus_tag=bas51_0110] [protein=hypothetical protein] [protein_id=QXV85620.1] [location=85523..85873] [gbkey=CDS]
MZ501079.1_prot_QXV80762.1_87_unknown	[locus_tag=bas07_0087] [protein=hypothetical protein] [protein_id=QXV80762.1] [location=50131..50259] [gbkey=CDS]
MZ501061.1_prot_QXV77849.1_155_unknown	[locus_tag=bas59_0155] [protein=hypothetical protein] [protein_id=QXV77849.1] [location=complement(99862..100101)] [gbkey=CDS]
NC_073089.1_prot_YP_010742562.1_23_unknown	[locus_tag=P9651_gp23] [db_xref=GeneID:79676124] [protein=putative tail assembly protein] [protein_id=YP_010742562.1] [location=16567..17184] [gbkey=CDS]
MZ501091.1_prot_QXV82376.1_34_unknown	[locus_tag=bas22_0034] [protein=hypothetical protein] [protein_id=QXV82376.1] [location=complement(24776..25060)] [gbkey=CDS]
NC_073066.1_prot_YP_010741216.1_43_unknown	[locus_tag=P9611_gp43] [db_xref=GeneID:79674756] [protein=putative single-stranded DNA binding protein] [protein_id=YP_010741216.1] [location=complement(32285..33034)] [gbkey=CDS]
MZ501047.1_prot_QXV75199.1_194_unknown	[locus_tag=bas47_0194] [protein=hypothetical protein] [protein_id=QXV75199.1] [location=complement(121922..122881)] [gbkey=CDS]
MZ501111.1_prot_QXV85572.1_62_unknown	[locus_tag=bas51_0062] [protein=hypothetical protein] [protein_id=QXV85572.1] [location=57097..57366] [gbkey=CDS]
